numero_expediente,tipo_obra,fecha_inicio_expediente,registro_obra_mes,registro_obra_anio,metros_cuadrados_obra,direccion_obra,seccion_manzana_parcela,lat,long,altura_obra,calle_obra,barrio_obra,comuna_obra,cp_obra,cpa_obra
1161240/2009,OBRA NUEVA,2009-09-16,ENERO,2012,88.27,PALPA 2515,037-140-019,-34.5711460960154,-58.447319169902,2515,PALPA ,Colegiales,Comuna 13,1426,C1426DOE
1216176/2009,OBRA NUEVA,2009-09-30,ENERO,2012,1968.55,GAMARRA 1855,051-050A-018,-34.5798913192271,-58.4799737608206,1855,GAMARRA ,Villa Urquiza,Comuna 12,1431,C1431FFG
1224756/2009,OBRA NUEVA,2009-10-01,ENERO,2012,589.71,AGUERO 859,013-063-019,-34.6002621588278,-58.4099221673713,859,AGUERO ,Balvanera,Comuna 3,1171,C1171ABM
1306451/2009,MODIFICACION,2009-10-22,ENERO,2012,3703.78,"GARCIA, TEODORO 2946",037-095-015,-34.5754861720408,-58.4483008046666,2946,"GARCIA, TEODORO ",Colegiales,Comuna 13,1426,C1426DND
1337282/2009,OBRA NUEVA,2009-10-29,ENERO,2012,555.63,FRANCO 3144,075-004-006,-34.5841356063196,-58.5089085803275,3144,FRANCO ,Villa Pueyrredon,Comuna 12,1419,C1419FIH
1430155/2009,MODIFICACION Y DEMOLICION PARCIAL,2009-11-23,ENERO,2012,162.29,"JUAREZ, BENITO 2026",085-046A-029,-34.6215535803956,-58.5035218058072,2026,"JUAREZ, BENITO ",Monte Castro,Comuna 10,1407,C1407CRH
217730/2010,OBRA NUEVA,2010-03-11,ENERO,2012,948.5,LLAVALLOL 4436,083-197-018,-34.5929687211356,-58.5065436751761,4436,LLAVALLOL ,Villa Devoto,Comuna 11,1419,C1419AKJ
284403/2010,MODIFICACION,2010-03-26,ENERO,2012,3794.06,"GARCIA, TEODORO 2310",023-024-005b,-34.5688843495539,-58.4438208839597,2310,"GARCIA, TEODORO ",Palermo,Comuna 14,1426,C1426DMP
350512/2010,DEMOLICION TOTAL,2010-04-13,ENERO,2012,86.82,PARAGUAY 3475,015-008-018,-34.5928924482076,-58.4133936746662,3475,PARAGUAY ,Palermo,Comuna 14,1425,C1425BRS
489542/2010,OBRA NUEVA,2010-05-13,ENERO,2012,0,BONPLAND 2269,035-100-014,-34.5796227538006,-58.4314812069906,2269,BONPLAND ,Palermo,Comuna 14,1425,C1425FWC
